,symbol
0,SZSE.000001
1,SZSE.000002
2,SZSE.000004
3,SZSE.000005
4,SZSE.000006
5,SZSE.000007
6,SZSE.000008
7,SZSE.000009
8,SZSE.000010
9,SZSE.000011
10,SZSE.000012
11,SZSE.000014
12,SZSE.000016
13,SZSE.000017
14,SZSE.000018
15,SZSE.000019
16,SZSE.000020
17,SZSE.000021
18,SZSE.000023
19,SZSE.000025
20,SZSE.000026
21,SZSE.000027
22,SZSE.000028
23,SZSE.000029
24,SZSE.000030
25,SZSE.000031
26,SZSE.000032
27,SZSE.000034
28,SZSE.000035
29,SZSE.000036
30,SZSE.000037
31,SZSE.000038
32,SZSE.000039
33,SZSE.000040
34,SZSE.000042
35,SZSE.000043
36,SZSE.000045
37,SZSE.000046
38,SZSE.000048
39,SZSE.000049
40,SZSE.000050
41,SZSE.000055
42,SZSE.000056
43,SZSE.000058
44,SZSE.000059
45,SZSE.000060
46,SZSE.000061
47,SZSE.000062
48,SZSE.000063
49,SZSE.000065
50,SZSE.000066
51,SZSE.000068
52,SZSE.000069
53,SZSE.000070
54,SZSE.000078
55,SZSE.000088
56,SZSE.000089
57,SZSE.000090
58,SZSE.000096
59,SZSE.000099
60,SZSE.000100
61,SZSE.000150
62,SZSE.000151
63,SZSE.000153
64,SZSE.000155
65,SZSE.000156
66,SZSE.000157
67,SZSE.000158
68,SZSE.000159
69,SZSE.000166
70,SZSE.000301
71,SZSE.000333
72,SZSE.000338
73,SZSE.000400
74,SZSE.000401
75,SZSE.000402
76,SZSE.000403
77,SZSE.000404
78,SZSE.000407
79,SZSE.000408
80,SZSE.000409
81,SZSE.000410
82,SZSE.000411
83,SZSE.000413
84,SZSE.000415
85,SZSE.000416
86,SZSE.000417
87,SZSE.000418
88,SZSE.000419
89,SZSE.000420
90,SZSE.000421
91,SZSE.000422
92,SZSE.000423
93,SZSE.000425
94,SZSE.000426
95,SZSE.000428
96,SZSE.000429
97,SZSE.000430
98,SZSE.000488
99,SZSE.000498
100,SZSE.000501
101,SZSE.000502
102,SZSE.000503
103,SZSE.000504
104,SZSE.000505
105,SZSE.000506
106,SZSE.000507
107,SZSE.000509
108,SZSE.000510
109,SZSE.000511
110,SZSE.000513
111,SZSE.000514
112,SZSE.000516
113,SZSE.000517
114,SZSE.000518
115,SZSE.000519
116,SZSE.000520
117,SZSE.000521
118,SZSE.000523
119,SZSE.000524
120,SZSE.000525
121,SZSE.000526
122,SZSE.000528
123,SZSE.000529
124,SZSE.000530
125,SZSE.000531
126,SZSE.000532
127,SZSE.000533
128,SZSE.000534
129,SZSE.000536
130,SZSE.000537
131,SZSE.000538
132,SZSE.000539
133,SZSE.000540
134,SZSE.000541
135,SZSE.000543
136,SZSE.000544
137,SZSE.000545
138,SZSE.000546
139,SZSE.000547
140,SZSE.000548
141,SZSE.000550
142,SZSE.000551
143,SZSE.000552
144,SZSE.000553
145,SZSE.000554
146,SZSE.000555
147,SZSE.000557
148,SZSE.000558
149,SZSE.000559
150,SZSE.000560
151,SZSE.000561
152,SZSE.000563
153,SZSE.000564
154,SZSE.000565
155,SZSE.000566
156,SZSE.000567
157,SZSE.000568
158,SZSE.000570
159,SZSE.000571
160,SZSE.000572
161,SZSE.000573
162,SZSE.000576
163,SZSE.000581
164,SZSE.000582
165,SZSE.000584
166,SZSE.000585
167,SZSE.000586
168,SZSE.000587
169,SZSE.000589
170,SZSE.000590
171,SZSE.000591
172,SZSE.000592
173,SZSE.000593
174,SZSE.000595
175,SZSE.000596
176,SZSE.000597
177,SZSE.000598
178,SZSE.000599
179,SZSE.000600
180,SZSE.000601
181,SZSE.000603
182,SZSE.000605
183,SZSE.000606
184,SZSE.000607
185,SZSE.000608
186,SZSE.000609
187,SZSE.000610
188,SZSE.000611
189,SZSE.000612
190,SZSE.000613
191,SZSE.000615
192,SZSE.000616
193,SZSE.000617
194,SZSE.000619
195,SZSE.000620
196,SZSE.000622
197,SZSE.000623
198,SZSE.000625
